Size of N	Russian Peasant Multiplication	Multiplications	Divisions	Additions	Total
100146	3573300	16	16	7	39
24702	4090600	14	14	7	35
21682	2838700	14	14	6	34
147770	2693700	17	17	6	40
73346	2901400	16	16	6	38
92253	3333000	16	16	8	40
37657	3183500	15	15	6	36
32402	19126800	14	14	8	36
169395	1933600	17	17	9	43
175452	1984400	17	17	9	43
63085	1095300	15	15	10	40
69447	1185700	16	16	8	40
222463	621600	17	17	12	46
202962	386800	17	17	7	41
244739	459200	17	17	8	42
214768	901400	17	17	8	42
171573	850900	17	17	9	43
138704	656300	17	17	7	41
206184	479200	17	17	7	41
166058	526600	17	17	6	40
296415	888600	18	18	10	46
344134	744400	18	18	5	41
227974	1001200	17	17	9	43
218304	472300	17	17	6	40
169577	669900	17	17	8	42
239759	693700	17	17	9	43
335234	1128700	18	18	7	43
323626	383800	18	18	7	43
344582	312800	18	18	5	41
210131	628600	17	17	9	43
183229	271500	17	17	11	45
168095	567300	17	17	8	42
304851	502600	18	18	9	45
353151	899000	18	18	12	48
254023	436800	17	17	8	42
317949	713500	18	18	12	48
238510	281700	17	17	10	44
285211	494100	18	18	8	44
355429	397300	18	18	9	45
348300	510300	18	18	6	42
274913	531600	18	18	7	43
397571	259100	18	18	5	41
365688	522800	18	18	8	44
429640	586500	18	18	7	43
298759	456500	18	18	8	44
364191	669000	18	18	11	47
324169	524800	18	18	8	44
351176	469200	18	18	9	45
270358	1607700	18	18	4	40
259463	507200	17	17	11	45
403684	304900	18	18	7	43
481623	694900	18	18	11	47
356720	238000	18	18	8	44
443676	403500	18	18	8	44
512375	440200	18	18	12	48
360664	415300	18	18	6	42
485391	482200	18	18	9	45
535122	504800	19	19	6	44
484513	424800	18	18	8	44
493335	431500	18	18	10	46
453575	476300	18	18	12	48
573691	636800	19	19	9	47
427924	479700	18	18	8	44
396462	410700	18	18	8	44
514926	235900	18	18	13	49
480158	327700	18	18	11	47
471257	297700	18	18	9	45
479566	309200	18	18	9	45
448743	340100	18	18	11	47
479503	228700	18	18	9	45
487809	219000	18	18	8	44
557816	192900	19	19	7	45
492618	204000	18	18	7	43
430701	346900	18	18	9	45
411091	184700	18	18	9	45
485671	303500	18	18	10	46
396324	175400	18	18	5	41
563951	198900	19	19	11	49
435509	353500	18	18	9	45
466765	440600	18	18	11	47
498251	313600	18	18	10	46
528923	347700	19	19	6	44
513831	239200	18	18	12	48
563902	216000	19	19	10	48
516336	341900	18	18	9	45
517055	235800	18	18	14	50
577994	187800	19	19	8	46
567377	326600	19	19	6	44
516266	197200	18	18	9	45
633202	420200	19	19	9	47
563684	370600	19	19	8	46
680402	398100	19	19	8	46
639421	276100	19	19	10	48
611601	185700	19	19	7	45
687841	366900	19	19	11	49
590598	313000	19	19	5	43
593679	523700	19	19	9	47
591756	316200	19	19	7	45
566114	353500	19	19	7	45
522334	1323100	18	18	12	48
649390	405200	19	19	10	48
609071	306900	19	19	10	48
528679	271100	19	19	6	44
713556	435100	19	19	9	47
775922	505400	19	19	12	50
748122	292300	19	19	10	48
625653	330400	19	19	11	49
748430	337800	19	19	11	49
757511	460400	19	19	10	48
709804	399900	19	19	9	47
746450	406000	19	19	10	48
823389	267900	19	19	8	46
797650	1133700	19	19	9	47
814089	401000	19	19	7	45
754173	7588500	19	19	11	49
782534	307000	19	19	10	48
908441	258100	19	19	11	49
847311	6831300	19	19	13	51
757033	629900	19	19	9	47
760415	1043800	19	19	12	50
847349	340300	19	19	13	51
828934	430700	19	19	7	45
808151	209000	19	19	10	48
748611	198200	19	19	9	47
908023	254100	19	19	14	52
916946	196400	19	19	13	51
904300	171700	19	19	10	48
951752	192100	19	19	8	46
871989	199600	19	19	10	48
871205	179900	19	19	9	47
968975	175600	19	19	10	48
961310	172200	19	19	11	49
896318	186700	19	19	12	50
962323	174700	19	19	11	49
1024469	176900	19	19	11	49
983014	256900	19	19	15	53
1021467	203100	19	19	11	49
1122794	372600	20	20	8	48
1019188	156000	19	19	10	48
1024957	112800	19	19	13	51
1186639	110500	20	20	10	50
1140222	155900	20	20	12	52
1170374	111700	20	20	11	51
1154241	119100	20	20	8	48
1220466	98700	20	20	11	51
1072923	95700	20	20	10	50
1265708	141300	20	20	7	47
1231960	158200	20	20	8	48
1281838	188800	20	20	11	51
1275263	189000	20	20	14	54
1258674	152500	20	20	9	49
1302657	145700	20	20	7	47
1308014	270500	20	20	13	53
1302332	158800	20	20	13	53
1289950	130200	20	20	13	53
1361071	149500	20	20	10	50
1280608	174300	20	20	7	47
1417078	165000	20	20	13	53
1285969	131600	20	20	11	51
1452851	92900	20	20	10	50
1299775	178300	20	20	13	53
1402700	159800	20	20	10	50
1306763	167300	20	20	10	50
1295790	165800	20	20	11	51
1393021	109000	20	20	10	50
1335506	155800	20	20	7	47
1422472	111500	20	20	8	48
1487891	134300	20	20	9	49
1388918	219800	20	20	10	50
1447142	152400	20	20	9	49
1379264	135600	20	20	7	47
1512742	215900	20	20	9	49
1444594	199500	20	20	9	49
1319187	153600	20	20	6	46
1494428	146300	20	20	11	51
1490742	244900	20	20	13	53
1399032	116300	20	20	10	50
1325256	112600	20	20	7	47
1466820	150600	20	20	8	48
1429878	167500	20	20	11	51
1399406	157700	20	20	11	51
1449746	219000	20	20	9	49
1546580	156400	20	20	10	50
1566709	183100	20	20	15	55
1476251	181600	20	20	10	50
1529870	186100	20	20	9	49
1483690	179400	20	20	10	50
1646161	133000	20	20	9	49
1611498	157000	20	20	10	50
1691390	180400	20	20	14	54
